ime,delodajalec,opis,kategorija,regija
Digitalni marketing specialist  v Sektorju marketinga,Gorenjska banka d.d. Kranj,Vaše glavne odgovornosti na delovnem mestu Digitalni marketing specialist bodo: sodelovanje pri načrtovanju in izvedbi marketinških projektov  samostojno načrtovanje  izvedba in analiza digitalnih marketinških kampanj in aktivnosti..,bancnistvo-finance,gorenjska
Vodja finančno računovodske službe,Geoinvest d.o.o.,V svojo ekipo vabimo novega sodelavca za delovno mesto VODJA FINANČNO RAČUNOVODSKE SLUŽBE.,bancnistvo-finance,gorenjska
Različni profili ,OVB Allfinanz SI  d.o.,Od novih sodelavcev pričakujemo minimalno V. stopnjo izobrazbe  zagnanost  komunikativnost. Zaželene izkušnje iz področja financ  licenca za zavarovalno zastopanje in/ali trženje skladov  ni pa nič od tega pogoj za začetek sodelovanja z nami. ,bancnistvo-finance,gorenjska
Globalni zakladnik ,Iskraemeco d.d.,Kaj bodo vaše naloge? Zagotavljanje ustreznih strukturiranih produktov pri mednarodnih finančnih skupinah  pridobivanje primernih virov financiranja projektov matičnega in povezanih podjetij ..,bancnistvo-finance,gorenjska
Različni profili ,Nova KBM d. d.,Našim zaposlenim nudimo možnost osebnega in kariernega razvoja v odprtem  urejenem in varnem delovnem okolju z mednarodnim pridihom.,bancnistvo-finance,gorenjska
Računovodja ,Trelleborg Slovenija  d.o.o.,Vabimo te k soustvarjanju uspešnih zgodb  ki jih uresničujejo inovativnost  osredotočenost na kupca  uspešnost in odgovornost.,bancnistvo-finance,gorenjska
Strokovni sodelavec za upravljanje tveganj  v Sektorju strateškega upravljanja tveganj,Gorenjska banka d.d. Kranj,Zaposleni v Gorenjski banki zavzeto in s strastjo gradimo sodobno  inovativno  k strankam in zaposlenim usmerjeno banko. Ustvarjamo navdušenje in navdihujemo druge  da delujemo po svojih najboljših močeh. Iščeš nove razvojne priložnosti  te zanima delo v bančništvu in si želiš soustvarjati nekaj izjemnega? Pridruži se nam. ,bancnistvo-finance,gorenjska
Računovodja ,ADECCO H.R. d.o.o.,Adecco H.R. d.o.o.  vodilno mednarodno podjetje na področju upravljanja s človeškimi viri za svojega naročnika išče novega sodelavca/ko.,bancnistvo-finance,gorenjska
Mid/Senior C++ razvijalec (Blockchain) ,Manpower d.o.o.,Za našega naročnika  uspešno in inovativno mednarodno podjetje s področja blockchain tehnologije iščemo proaktivne in radovedne kandidate za delovno mesto mid/senior C++ razvijalca m/ž.,bancnistvo-finance,gorenjska
Načrtovalec ERP rešitev za plače ,Manpower d.o.o.,Za našega naročnika  priznano podjetje  iščemo kandidata za delovno mesto &#39;&#39;Načrtovalec ERP rešitev m/ž&#39;&#39; na področju plač.,bancnistvo-finance,gorenjska
Različni profili ,Toyota Adria d.o.o.,Iščemo raznolike  nadarjene člane ekipe  ki bodo z nami gradili prihodnost. Kandidatom so na voljo delovna mesta na različnih področjih (prodaja  poprodaja  računovodstvo  finance  IT  leasing  mobilnostne storitve  administracija  HR  splošne zadeve  logistika in marketing)  iščemo tako začetnike kot že izkušene kandidate. ,bancnistvo-finance,gorenjska
Različni profili ,Unija d.o.o.,Biti del Unije ne pomeni samo stabilnega in urejenega delovnega okolja  ampak prinaša številne prednosti  ki nam pomagajo bolje usklajevati življenje in delo. Se pravi  bolje delati in hkrati bolje živeti.,bancnistvo-finance,gorenjska
QA inženir ,FirstClass  kadrovsko svetovanje  d.o.o.,Pridruži se hitro rastočemu e-commerce scale-upu na desetih trgih kot prvi QA inženir. Sodeluj pri prenovi spletnih strani in vzpostavitvi avtomatskega testiranja v dinamični ekipi 60 ljudi. Plačilo med 2000 in 3500 eur bruto  delo od doma ali iz pisarne v Ljubljani.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Direktor digitalne preobrazbe (CDO - chief digital officer) ,Mladinska knjiga Založba  d.d.,Glavne odgovornosti: razvoj in izvajanje celovite digitalne strategije za poslovno preobrazbo podjetja  vključno s cilji in kazalniki uspeha..,matematika-fizika-in-naravoslovje,osrednjeslovenska
Različni profili ,Sava Re  d.d.,Smo prodorna slovenska zavarovalna skupina s posli na več kot 100 zavarovalnih in pozavarovalnih trgih sveta. Ponujamo zavarovalne  pozavarovalne in pokojninske rešitve ter storitve upravljanja premoženja.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Power BI razvijalec ,Comtrade d.o.o.,V tej vlogi boste ključni akter pri preoblikovanju podatkov v uporabne namene  ki prispevajo h krepitvi naših procesov  ki temeljijo na podatkih  ter zagotavljajo vrhunsko kakovost analitičnih rezultatov. Vaše veščine razvijanja poročil in nadzornih plošč bodo bistvene za usmerjanje strateške poti naših inovativnih igralniških rešitev.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Senior Front-End razvijalec ,FirstClass  kadrovsko svetovanje  d.o.o.,Če ste strastni do spletnega razvoja in uživate v dinamičnem  mednarodnem in sodelovalnem okolju  je to prava priložnost za vas. Nadaljujte z branjem in izvedeli boste več o poziciji in kvalifikacijah  ki jih iščemo.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Različni profili ,Etrel d.o.o.,ETREL je eden izmed pionirjev pametnega polnjenja električnih vozil  ki oblikuje prihodnost e-mobilnosti po vsem svetu.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Različni profili ,GEN-I  d.o.o.,Prepričani smo  da so talenti prihodnosti izrazito značajsko in osebnostno odprti  željni medsebojnega sodelovanja in povezovanja znotraj številnih projektov ter področij ter sposobni hitrega prilagajanja dinamičnim razmeram organizacijskih struktur. ,matematika-fizika-in-naravoslovje,osrednjeslovenska
Različni profili ,SRC d.o.o.,Ključnega pomena za sodelovanje v naših ekipah je vaša kreativnost  sposobnost sodelovanja v skupini in veselje do dela s sodobnimi tehnologijami. Specializacija  certifikati in zaključena formalna izobrazba niso edini pogoj  so pa prijetna popestritev v vaši prijavi.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Samostojni strokovni sodelavec v Službi za plan in analize ,Kemijski Inštitut Ljublj,Vas zanima delo v mednarodno priznani znanstveni organizaciji in želite biti podpora odličnim raziskovalcem? Ste komunikativni  odlično znate upravljati preglednice podatkov  imate izkušnje z vodenjem projektov? Se odlično pisno in ustno izražate v slovenskem jeziku? ,matematika-fizika-in-naravoslovje,osrednjeslovenska
Raziskovalec ,Center odličnosti za nizkoogljične tehnologij,Center odličnosti za nizkoogljične tehnologije CO NOT v sodelovanju z Odsekom za katalizo in reakcijsko inženirstvo na Kemijskem inštitutu objavlja prosto delovno mesto raziskovalca (strokovnega sodelavca) (m/ž) v skupini za (bio)rafinacijo biomase. Začetek zaposlitve čimprej oz. po dogovoru.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Prodajni analitik ,TKK  d. o. o.,Če si želite delati v timu  ki ga ženejo ustvarjalnost  zaupanje in samoiniciativnost  ste vabljeni  da se nam pridružite na delovnem mestu PRODAJNI ANALITIK (m/ž),matematika-fizika-in-naravoslovje,osrednjeslovenska
Samostojni strokovni sodelavec I,Zavod za zdravstveno zavarovanje Slovenij,vno razmerje bomo sklenili za nedoločen čas  s 3-mesečno poskusno dobo  in sicer za polni delovni čas 40 ur na teden.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Specialist ali specialistka na področju informatike (tehnolog/tehnologinja),Triglav Skladi  d.o.o.,Se vidite kot del ekipe  kjer je intenziven razvoj digitalnih prodajnih kanalov in s tem povezana digitalizacija in avtomatizacija vseh poslovnih procesov  med ključnimi strateškimi cilji družbe?,matematika-fizika-in-naravoslovje,osrednjeslovenska
Analitik SPAR plus kartice ,Spar Slovenija d.o.o.,bsega: načrtovanje  razvoj in izgradnja podatkovnih modelov za analiziranje poslovnih problemov  sodelovanje z različnimi oddelki za izboljšanje poslovnih odločitev..,matematika-fizika-in-naravoslovje,osrednjeslovenska
Samostojni strokovni sodelavec za upravljanje neprekinjenega poslovanja in zunanjega izvajanja poslovanja ,Addiko Bank d.d.,Ponujamo delovno okolje  ki spodbuja inovativne rešitve in kulturo skupnosti  spoštuje povratne informacije in neguje človeške odnose. Kultura  kjer &#187;mi&#171; pomeni  da ima vsak svoj &#187;jaz&#171;  vsak &#187;jaz&#171; pa je del ekipe. Addiko Bank d.d. je delodajalec  ki je zavezan enakim zaposlitvenim možnostim.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Automation and Autonomy Researchers / Raziskovalci avtomatizacije in avtonomije,Pipistrel Vertical Solutions d.o.o.,Za podjetje Pipistrel Vertical Solutions d.o.o. iščemo raziskovalce in raziskovalke na različnih področjih (poglejte angleške opise)  ki bodo postali del ekipe Pipistrel. Kot člani raziskovalnega oddelka  boste proaktivno raziskovali in razvijali prebojne najnaprednejše  ki bodo zagotovile  da naši bodoči produkti in programi ohranijo strateško prednost našega podjetja. ,matematika-fizika-in-naravoslovje,osrednjeslovenska
Sodelavec za uporabniško podporo in zagotavljanje kakovosti ,AGITAVIT Solutions  informacijske rešitve in svetovanje d.o.o.,Zaradi povečanega obsega dela v ekipo  ki dela na obsežnejšem projektu razvoja po meri za mednarodnega naročnika  vabimo sodelavko oziroma sodelavca za zagotavljanje kakovosti in podporo uporabnikom.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Administrator podatkovnih baz ,Petrol d.d.,V Informatiki iščemo sodelavca  ki se bo spoprijel z administracijo in optimizacijo baz podatkov. Obenem bo skupaj s sodelavci v timu prispeval k vpeljavi novih tehnologij. Zato si želimo  da se nam pridruži oseba  ki ima izkušnje s tovrstnim delom  je ambiciozna in razvojno naravnana. ,matematika-fizika-in-naravoslovje,osrednjeslovenska
Informatik ,Roltek d.o.o.,Vas veseli dinamično delo v oddelku informatike? Ste pripravljeni na nove izzive in si želite nadgraditi vaše znanje? Ste pozitivni  odgovorni in motivirani in si želi s svojim znanjem in zavzetostjo pripomoči  k nadaljnji rasti podjetja in samega sebe? V kolikor ste 3x odgovorili DA  ne zamudite in se prijavite na prosto delavno mesto INFORMATIK v podjetju ROLTEK.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Preskusni inženir ,BMM Spain Testlabs  S.L.  podružnica v Slovenij,Iščemo več profilov (vlog) preskusnih inženirjev. Preskusni inženir lahko opravlja eno od naslednjih vlog:Funkcionalno preskušanje  Matematik / matematični analitik  Programer  Strokovnjak za informacijsko varnost.. Konkurenčna plača  izkušena  dinamična in dostopna ekipa. ,matematika-fizika-in-naravoslovje,osrednjeslovenska
Analitik za tržna tveganja ,GEN-I  d.o.o.,Te zanima področje obvladovanja tveganj v energetiki? Te navdušuje analitičen pogled na dogajanje na trgu z energenti in učinki upravljanja portfeljev na tveganja? Te veseli delo s podatkovnimi bazami  razvoj analitičnih modelov  orodij in nadgradnja procesov obvladovanja tveganj? ,matematika-fizika-in-naravoslovje,osrednjeslovenska
Front-End inženir ,FirstClass  kadrovsko svetovanje  d.o.o.,Postanite del podjetja  ki ceni inovativnost  trajnost in odličnost!,matematika-fizika-in-naravoslovje,osrednjeslovenska
Specialist IT operacij ,FirstClass  kadrovsko svetovanje  d.o.o.,Naš naročnik vabi senior razvojnega inženirja v eno od svojih ekip za računalniški vid  ki bo imel ključno vlogo pri razvoju odličnih edinstvenih naprednih orodij na področju računalniškega vida in globokega učenja.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Različni profili ,Holding Slovenske elektrarne d.o.o.,Izkušnje  znanje ter motivacija zaposlenih so za nas izjemnega pomena  zato zaposlovanje novih sodelavk in sodelavcev  njihovo uvajanje in delo ter njihov osebni in strokovni razvoj skrbno načrtujemo. Pri ustvarjanju pozitivnega delovnega okolja delovne zahteve in rezultate združujemo z zadovoljstvom in dobrimi medsebojni odnosi.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Referent za informacijsko tehnologijo ,BKS Bank AG  Bančna podruž,Vaše glavne delovne naloge in odgovornosti bodo: vzdrževanje IT infrastrukture v podružnici in zagotavljanje delovanja IT sistemov v podružnici ..,matematika-fizika-in-naravoslovje,osrednjeslovenska
Razvojni inženir analitik na področju mobilnih in spletnih rešitvah ,BANKART d.o.o.  Ljublj,Če te zanima sodelovanje na velikih sistemih in projektih  si navdušen nad tehnologijo in si timski človek  potem imamo mesto zate!,matematika-fizika-in-naravoslovje,osrednjeslovenska
Varnostni inženir na področju upravljanja informacijske varnosti ,BANKART d.o.o.  Ljublj,Si strokovnjak/inja za informacijsko varnost? Potem ti lahko ponudimo priložnost za zanimivo in izzivov polno delo v med seboj povezani in izkušeni varnostni ekipi družbe Bankart  ki je vodilno slovensko podjetje na področju procesiranja sodobnih plačilnih instrumentov. ,matematika-fizika-in-naravoslovje,osrednjeslovenska
Strokovno delo na področju elektronske mikroskopije / Electron microscopy professional,Institut &quot;Jožef Stefan&quot;,Center za elektronsko mikroskopijo in mikroanalizo CEMM vabi k sodelovanju nove sodelavce za strokovno/raziskovalna dela  povezana z vzdrževanjem in delom na opremi za elektronsko mikroskopijo in pripravo vzorcev.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Analitik/analitičarka na področju upravljanja tveganj in spremljave poslovanja,Triglav Skladi  d.o.o.,Iščemo nekoga  ki: mu branje in razumevanje zakonodaje in aktualne literature ter pisanje poročil in internih aktov ne povzroča težav  se ne ustraši finančnih izračunov  je timski igralec  pripravljen na sodelovanje  je samoiniciativen in ima željo po učenju...,matematika-fizika-in-naravoslovje,osrednjeslovenska
Različni profili ,Krka  tovarna zdravil  d. d.  N,Od novih sodelavcev pričakujemo pripravljenost na delovanje v mednarodnem podjetju  samostojnost in samoiniciativnost pri delu. Prav tako pričakujemo strokovnost in pripravljenost na nenehno izpopolnjevanje znanj.,matematika-fizika-in-naravoslovje,osrednjeslovenska
DBA – Administrator podatkovnih baz ali DevOps inženir ,Informatika d.o.o.,Če vas zanima delo z bazami podatkov ali na DevOps področju  izkoristi priložnost in se pridruži naši ekipi.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Junior strokovnjak za poslovno analitiko,STEKLARNA HRASTNIK d.o.o.,Od prvega dne bomo vlagali v najpomembnejšo prihodnost – v VAS! Po uspešno zaključenem usposabljanju (poskusno obdobje) boste postali član družine Steklarne Hrastnik za nedoločen čas.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Višji razvojni inženir zalednih sistemov,Etrel d.o.o.,Ali želite delati v trajnostni industriji  ki bo spremenila naše vsakdanje življenje? Potem se nam pridružite! Iščemo navdušenega in motiviranega Višjega razvojnega inženirja zalednih sistemov  ki bi se pridružil naši ekipi  katera se vsak dan trudi in daje vse od sebe. Ta vloga bo v naši pisarni v Grosuplju  z možnostjo ureditve hibridnega urnika dela.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Projektni vodja v kakovosti,GUARDIARIS d.o.o.,Rad/-a rešuješ izzive in te zanima  kaj se skriva za visokotehnološkimi produkti  ki se prodajajo po celem svetu? V našo ekipo vabimo iznajdljivega/-o projektnega/-o vodjo v kakovosti  ki bo skrbel/-a za odlično skladnost in izpeljane projekte.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Različni profili ,SIQ Ljublj,Iščemo strokovnjake na področju ekologije  trajnosti  varovanja okolja  certificiranja medicinskih pripomočkov.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Razvijalec programske opreme (SAP ABAP razvijalec),Hisense Gorenje Europe  d.o.o.,Vabimo vas  da se pridružite našemu timu Informatike in telekomunikacij v Velenju ali Ljubljani.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Tester programske opreme – QA-inženir,Impera d.o.o.,Pričakovane zmožnosti kandidatov: dobro ustno in pisno izražanje v slovenskem in angleškem jeziku; dobro logično razmišljanje; visoka stopnja natančnosti in odgovornosti; samoiniciativnost; odprtost za spremembe; zmožnost sprotnega prilagajanja.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Izkušeni računovodja/Senior accountant ,Deloitte d.o.o.,Nenehen razvoj in rast naše pisarne v Ljubljani pomenita tudi nove zaposlitvene priložnosti  in sicer iščemo:   Izkušenega računovodjo/Senior accountant (m/ž).,matematika-fizika-in-naravoslovje,osrednjeslovenska
Višji svetovalec v oddelku za finančno svetovanje ,Deloitte d.o.o.,V Deloittovem oddelku za finančno svetovanje vodimo postopke prodaje in nakupov podjetij  finančnega prestrukturiranja ter druge postopke v povezavi s kapitalsko strukturo podjetji. Pri tem sodelujemo s prevzemnimi in ciljnimi podjetji  bankami ter drugimi deležniki. ,matematika-fizika-in-naravoslovje,osrednjeslovenska
Različni profili ,Novartis d.o.o.,Zavedamo se  da so motivirani in zavzeti posamezniki predpogoj za uspešno opravljeno delo. Sledimo Novartisovi strategiji in si z različnimi dejanji in pristopi prizadevamo spodbuditi naše zaposlene  da izkoristijo svoje potenciale. Ustvarjamo opolnomočeno  vedoželjno in navdihujočo kulturo  ki temelji na integriteti in vrednotenju raznolikosti.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Administrator baze podatkov ,Manpower d.o.o.,Za našega naročnika  uspešno mednarodno podjetje iz področja trajnostne e-mobilnosti  iščemo izkušene in motivirane kandidate za delovno mesto &#39;&#39;Administrator baze podatkov m/ž&#39;&#39;.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Inženir za telekomunikacijska omrežja ,Manpower d.o.o.,Za našega naročnika  uspešno mednarodno podjetje  iščemo Razvojnega Inženirja za področje telekomunikacijskih omrežij m/ž.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Senior Java Developer ,Manpower d.o.o.,Za uspešno in mednarodno podjetje  iščemo perspektivne kandidate  ki bodo zasedli delovno mesto &quot;Senior Java Developer (m/ž)&quot;,matematika-fizika-in-naravoslovje,osrednjeslovenska
Delphi programer - arhitekt ,Manpower d.o.o.,Za našega naročnika  priznano podjetje  iščemo Delphi programerja - arhitekta m/ž za delo v Ljubljani ali Novi Gorici.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Mid/Senior C++ razvijalec (Blockchain) ,Manpower d.o.o.,Za našega naročnika  uspešno in inovativno mednarodno podjetje s področja blockchain tehnologije iščemo proaktivne in radovedne kandidate za delovno mesto mid/senior C++ razvijalca m/ž.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Middle QA Engineer ,Manpower d.o.o.,Za uspešno in mednarodno podjetje  iščemo perspektivne kandidate  ki bodo zasedli delovno mesto &quot;Middle QA Engineer (m/ž)&quot;,matematika-fizika-in-naravoslovje,osrednjeslovenska
Senior QA Engineer ,Manpower d.o.o.,Za uspešno in mednarodno podjetje  iščemo perspektivne kandidate  ki bodo zasedli delovno mesto &quot;Senior QA Engineer (m/ž)&quot;,matematika-fizika-in-naravoslovje,osrednjeslovenska
SAP razvijalec / programer / svetovalec ,SAPPHIR poslovno svetovanje d.o.o.,Če ste pripravljeni sprejeti izziv in vas odlikujejo odgovoren pristop do dela  zanesljivost  proaktivnost  agilnost in inovativnost  vas vabimo  da se pridružite naši skupini SAP strokovnjakov.   ,matematika-fizika-in-naravoslovje,osrednjeslovenska
SAP razvijalec / programer za ABAP ,SAPPHIR poslovno svetovanje d.o.o.,Če ste pripravljeni sprejeti izziv in vas odlikujejo odgovoren pristop do dela  zanesljivost  proaktivnost  agilnost in inovativnost  vas vabimo  da se pridružite naši skupini SAP strokovnjakov.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Sistemski administrator – Skrbnik sistemske in telekomunikacijske infrastrukture ,Hisense Gorenje Europe  d.o.o.,Opis dela: opravljanje zahtevnih del na področju razvoja  uvajanja in vzdrževanja telekomunikacijskih sistemov in opreme ter nudenje podpore poslovanju.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Raziskovalec – asistent ,Institut &quot;Jožef Stefan&quot;,V Skupini za računsko inteligenco Odseka za inteligentne sisteme Instituta &#187;Jožef Stefan&#171; iščemo kandidata/-tko za delovno mesto raziskovalec – asistent. Proučujemo in razvijamo metode računske inteligence s poudarkom na optimizacijskih algoritmih in v povezavi s strojnim učenjem in vizualizacijo podatkov.,matematika-fizika-in-naravoslovje,osrednjeslovenska
Različni profili ,Sava Re  d.d.,Smo prodorna slovenska zavarovalna skupina s posli na več kot 100 zavarovalnih in pozavarovalnih trgih sveta. Ponujamo zavarovalne  pozavarovalne in pokojninske rešitve ter storitve upravljanja premoženja.,matematika-fizika-in-naravoslovje,obalna
Različni profili ,Etrel d.o.o.,ETREL je eden izmed pionirjev pametnega polnjenja električnih vozil  ki oblikuje prihodnost e-mobilnosti po vsem svetu.,matematika-fizika-in-naravoslovje,obalna
Različni profili ,GEN-I  d.o.o.,Prepričani smo  da so talenti prihodnosti izrazito značajsko in osebnostno odprti  željni medsebojnega sodelovanja in povezovanja znotraj številnih projektov ter področij ter sposobni hitrega prilagajanja dinamičnim razmeram organizacijskih struktur. ,matematika-fizika-in-naravoslovje,obalna
Različni profili ,SRC d.o.o.,Ključnega pomena za sodelovanje v naših ekipah je vaša kreativnost  sposobnost sodelovanja v skupini in veselje do dela s sodobnimi tehnologijami. Specializacija  certifikati in zaključena formalna izobrazba niso edini pogoj  so pa prijetna popestritev v vaši prijavi.,matematika-fizika-in-naravoslovje,obalna
Inženir/inženirka za utrujanje materiala in toleranco poškodb / Fatigue and damage tolerance engineer,Pipistrel Vertical Solutions d.o.o.,V podjetju Pipistrel Vertical Solutions d.o.o. iščemo Inženirja/inženirko za utrujanje materiala in toleranco poškodb  ki se bo pridružil(a) Pipistrelovi ekipi. Kot inženir/inženirka za utrujanje materiala in toleranco poškodb boste sodelovali pri pripravi konstrukcijske dokumentacije in analiz v podporo modifikaciji letal  preverjanju risb  sprememb in drugih ustreznih dokumentov podjetja.,matematika-fizika-in-naravoslovje,obalna
Automation and Autonomy Researchers / Raziskovalci avtomatizacije in avtonomije,Pipistrel Vertical Solutions d.o.o.,Za podjetje Pipistrel Vertical Solutions d.o.o. iščemo raziskovalce in raziskovalke na različnih področjih (poglejte angleške opise)  ki bodo postali del ekipe Pipistrel. Kot člani raziskovalnega oddelka  boste proaktivno raziskovali in razvijali prebojne najnaprednejše  ki bodo zagotovile  da naši bodoči produkti in programi ohranijo strateško prednost našega podjetja. ,matematika-fizika-in-naravoslovje,obalna
Vodja oddelka za plovnost in certifikacijo / Airworthiness and Certification Department Manager,Pipistrel Vertical Solutions d.o.o.,Oddelek plovnosti igra ključno vlogo pri uresničevanju naše življenjske vizije. Predstavlja tudi ključni vmesni člen med Pipistrelom in pristojnimi letalskimi organi  ki so odgovorni za varnost in certifikacijo Pipistrelovih proizvodov. Kot Vodja oddelka za plovnost in certifikacijo  boste odgovorni za vodenje oddelka.,matematika-fizika-in-naravoslovje,obalna
Programski inženir/inženirka / Software Engineer,Pipistrel Vertical Solutions d.o.o.,Programski inženir/inženirka bo razvijal(a)  nastavljal(a) in vzdrževal(a) programsko opremo v oblaku in podatkovno zbirko za zbiranje podatkov med letom  razvijal(a) spletni vmesnik/aplikacijo za vizualizacijo in predstavitev podatkov o letih ter opravljal(a) druge naloge  povezane z inženiringom programske opreme.,matematika-fizika-in-naravoslovje,obalna
Vodja projektov / Project manager,Pipistrel Vertical Solutions d.o.o.,Vodja projektov bo pomagal/a ekipi pri pripravi podrobnih načrtov za spremljanje in sledenju napredku  meril uspešnost projektov z uporabo orodij in tehnik  komuniciral z naročniki in zainteresiranimi strankami  upravljal tveganja za zmanjševanje projektnih tveganj ter se po potrebi udeležil konferenc.,matematika-fizika-in-naravoslovje,obalna
Inženir/inženirka za varnost in zanesljivost / Safety and reliability engineer,Pipistrel Vertical Solutions d.o.o.,Kot inženir/inženirka boste sodelovali pri izvajanju varnostnih analiz  napovedovanju zanesljivosti in analizah tveganja. Imeli boste priložnost sodelovati pri internih  komercialnih in EU projektih ter sodelovati s preostalimi oddelki. ,matematika-fizika-in-naravoslovje,obalna
Inženir/inženirka za plovnost in certifikacijo / Airworthiness and certification engineer,Pipistrel Vertical Solutions d.o.o.,Kot inženir/inženirka za plovnost in certifikacijo  boste odgovorni za podporo našim razvojnim ekipam. ,matematika-fizika-in-naravoslovje,obalna
Različni profili ,Holding Slovenske elektrarne d.o.o.,Izkušnje  znanje ter motivacija zaposlenih so za nas izjemnega pomena  zato zaposlovanje novih sodelavk in sodelavcev  njihovo uvajanje in delo ter njihov osebni in strokovni razvoj skrbno načrtujemo. Pri ustvarjanju pozitivnega delovnega okolja delovne zahteve in rezultate združujemo z zadovoljstvom in dobrimi medsebojni odnosi.,matematika-fizika-in-naravoslovje,obalna
Različni profili ,Krka  tovarna zdravil  d. d.  N,Od novih sodelavcev pričakujemo pripravljenost na delovanje v mednarodnem podjetju  samostojnost in samoiniciativnost pri delu. Prav tako pričakujemo strokovnost in pripravljenost na nenehno izpopolnjevanje znanj.,matematika-fizika-in-naravoslovje,obalna
Različni profili ,SIQ Ljublj,Iščemo strokovnjake na področju ekologije  trajnosti  varovanja okolja  certificiranja medicinskih pripomočkov.,matematika-fizika-in-naravoslovje,obalna
Različni profili ,Novartis d.o.o.,Zavedamo se  da so motivirani in zavzeti posamezniki predpogoj za uspešno opravljeno delo. Sledimo Novartisovi strategiji in si z različnimi dejanji in pristopi prizadevamo spodbuditi naše zaposlene  da izkoristijo svoje potenciale. Ustvarjamo opolnomočeno  vedoželjno in navdihujočo kulturo  ki temelji na integriteti in vrednotenju raznolikosti.,matematika-fizika-in-naravoslovje,obalna
Senior Java Developer ,Manpower d.o.o.,Za uspešno in mednarodno podjetje  iščemo perspektivne kandidate  ki bodo zasedli delovno mesto &quot;Senior Java Developer (m/ž)&quot;,matematika-fizika-in-naravoslovje,obalna
Delphi programer - arhitekt ,Manpower d.o.o.,Za našega naročnika  priznano podjetje  iščemo Delphi programerja - arhitekta m/ž za delo v Ljubljani ali Novi Gorici.,matematika-fizika-in-naravoslovje,obalna
Mid/Senior C++ razvijalec (Blockchain) ,Manpower d.o.o.,Za našega naročnika  uspešno in inovativno mednarodno podjetje s področja blockchain tehnologije iščemo proaktivne in radovedne kandidate za delovno mesto mid/senior C++ razvijalca m/ž.,matematika-fizika-in-naravoslovje,obalna
Middle QA Engineer ,Manpower d.o.o.,Za uspešno in mednarodno podjetje  iščemo perspektivne kandidate  ki bodo zasedli delovno mesto &quot;Middle QA Engineer (m/ž)&quot;,matematika-fizika-in-naravoslovje,obalna
Senior QA Engineer ,Manpower d.o.o.,Za uspešno in mednarodno podjetje  iščemo perspektivne kandidate  ki bodo zasedli delovno mesto &quot;Senior QA Engineer (m/ž)&quot;,matematika-fizika-in-naravoslovje,obalna
SAP razvijalec / programer / svetovalec ,SAPPHIR poslovno svetovanje d.o.o.,Če ste pripravljeni sprejeti izziv in vas odlikujejo odgovoren pristop do dela  zanesljivost  proaktivnost  agilnost in inovativnost  vas vabimo  da se pridružite naši skupini SAP strokovnjakov.   ,matematika-fizika-in-naravoslovje,obalna
SAP razvijalec / programer za ABAP ,SAPPHIR poslovno svetovanje d.o.o.,Če ste pripravljeni sprejeti izziv in vas odlikujejo odgovoren pristop do dela  zanesljivost  proaktivnost  agilnost in inovativnost  vas vabimo  da se pridružite naši skupini SAP strokovnjakov.,matematika-fizika-in-naravoslovje,obalna
Vodja oddelka za plovnost in certifikacijo / Airworthiness and Certification Department Manager,Pipistrel Vertical Solutions d.o.o.,Oddelek plovnosti igra ključno vlogo pri uresničevanju naše življenjske vizije. Predstavlja tudi ključni vmesni člen med Pipistrelom in pristojnimi letalskimi organi  ki so odgovorni za varnost in certifikacijo Pipistrelovih proizvodov. Kot Vodja oddelka za plovnost in certifikacijo  boste odgovorni za vodenje oddelka.,matematika-fizika-in-naravoslovje,obalna
Različni profili ,Sava Re  d.d.,Smo prodorna slovenska zavarovalna skupina s posli na več kot 100 zavarovalnih in pozavarovalnih trgih sveta. Ponujamo zavarovalne  pozavarovalne in pokojninske rešitve ter storitve upravljanja premoženja.,matematika-fizika-in-naravoslovje,gorenjska
